Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email
CUST10468,George Wright,MALE,51.0,Hyderabad,2020-09-16,2025-11-07,62303.7,3.0,wright82@example.com
CUST6922,Robert Gonzalez,m,55.0,Surat,2020-08-13,2023-04-27,,8.0,robertgonzalez@yahoo.com
CUST9728,Joseph Martin,female,47.0,Hyderabad,2022-08-03,2024-06-24,31636.7,3.0,jmartin@gmail.com
CUST2674,Anthony King,male,31.0,ahmedabad,2023-11-03,2024-09-12,77309.3,4.0,aking@hotmail.com
CUST3643,Matthew Taylor,f,46 years,JAIPUR,2022-12-06,2024-11-25,6543.9,8.0,taylor26@hotmail.com
CUST2376,Richard Campbell,,60.0,Kolkata,2023-02-05,2023-08-14,37037.3,2.0,rcampbell@example.com
CUST9584,David Lee,M,51.0,Mumbai,2021-06-07,2025-08-28,25083.1,7.0,davidlee@hotmail.com
CUST9530,Charles Perez,M,20.0,Surat,2022-08-23,2025-07-13,57152.8,4.0,cperez@hotmail.com
CUST4804,Elizabeth Wright,,26.0,MUMBAI,2019-08-18,2024-12-19,13171.8,7.0,ewright@yahoo.com
CUST9238,Kathleen Lewis,FEMALE,45.0,lucknow,2018-12-14,2023-06-07,66949.0,3.0,klewis@yahoo.com
CUST5073,Charles Hall,FEMALE,22.0,chennai,2023-02-16,2025-11-07,41438.1,9.0,hall28@outlook.com
CUST8043,Robert Baker,F,29.0,lucknow,2018-10-23,2025-07-29,17834.0,5.0,robertbaker@yahoo.com
CUST1620,Steven Carter,f,,Delhi,2020-06-12,2025-06-01,37186.8,10.0,scarter@gmail.com
CUST7824,Barbara Brown,F,41.0,Jaipur,2020-11-19,2024-08-14,26497.5,5.0,barbarabrown@outlook.com
CUST6785,Patricia Robinson,,41.0,Lucknow,2021-10-25,2025-04-17,36190.9,1.0,patriciarobinson@outlook.com
CUST8046,Lisa Harris,female,44.0,,2023-12-09,2025-01-27,,6.0,lisaharris@hotmail.com
CUST3181,Barbara King,male,38 years,Hyderabad,2023-01-31,2024-10-29,61551.9,2.0,bking@example.com
CUST3389,Donald Clark,Female,50.0,delhi,2023-12-15,2025-11-12,75943.7,1.0,donaldclark@outlook.com
CUST7769,Susan Baker,,18 years,Ahmedabad,2022-04-29,2023-11-13,,9.0,susanbaker@example.com
CUST6231,Betty Hill,FEMALE,69.0,Lucknow,2023-09-23,2024-02-14,27713.8,5.0,bettyhill@example.com
CUST1266,Deborah Wilson,F,47.0,chennai,2020-11-02,2024-10-20,41800.7,9.0,wilson49@hotmail.com
CUST8472,Ronald Roberts,female,24.0,mumbai,2021-12-05,2023-02-20,70924.0,8.0,
CUST3551,Linda Davis,M,49.0,Surat,2018-06-29,2023-12-16,,2.0,davis63@hotmail.com
CUST6281,David Moore,f,66.0,Surat,2020-01-20,2025-02-05,,8.0,dmoore@outlook.com
CUST8685,Charles Young,MALE,39.0,Nagpur,2021-07-07,,67190.0,1.0,charlesyoung@yahoo.com
CUST7347,Amanda Perez,male,68.0,mumbai,2022-07-17,2024-01-04,51142.6,4.0,perez88@gmail.com
CUST8055,Patricia Gonzalez,Female,43.0,surat,2019-12-18,2025-09-21,20759.5,3.0,patriciagonzalez@outlook.com
CUST6881,Anthony Perez,male,23.0,JAIPUR,2019-10-02,2023-12-18,16635.2,9.0,anthonyperez@hotmail.com
CUST7089,Robert Brown,Female,48.0,Chennai,2022-09-28,2023-05-21,41881.7,5.0,rbrown@gmail.com
CUST9088,George Wilson,F,48 years,DELHI,2018-02-10,2023-06-16,67684.2,8.0,wilson17@outlook.com
CUST3619,Joseph Williams,m,59 years,BANGALORE,2018-10-11,2025-06-24,39244.8,2.0,
CUST1324,Ronald Rivera,Female,66 years,Pune,2018-09-03,2024-08-26,23604.1,5.0,rrivera@yahoo.com
CUST3522,,M,67.0,MUMBAI,2023-04-03,2025-06-23,40644.3,3.0,lewis72@example.com
CUST4073,Cynthia Lee,Male,55.0,Ahmedabad,2019-11-16,2023-12-24,37424.9,10.0,lee97@hotmail.com
CUST8486,Sarah Gonzalez,m,57.0,Nagpur,2019-05-18,2024-09-19,27185.2,4.0,
CUST1194,Michael Sanchez,M,56.0,nagpur,2022-03-29,2025-08-20,55629.5,4.0,sanchez35@outlook.com
CUST5529,Sandra Adams,f,63.0,kolkata,2019-08-29,2024-08-14,73743.0,7.0,adams90@hotmail.com
CUST9603,Jason Smith,female,55.0,mumbai,2018-12-08,2023-01-20,38945.8,6.0,jsmith@outlook.com
CUST5979,Jennifer Wright,,21.0,Surat,2021-03-19,2024-10-18,32307.9,4.0,jenniferwright@outlook.com
CUST4527,Edward Smith,FEMALE,18.0,MUMBAI,2021-09-22,2025-07-26,78213.1,4.0,esmith@hotmail.com
CUST6304,Cynthia Jones,MALE,60.0,BANGALORE,2023-11-23,2024-01-30,20258.9,,jones40@outlook.com
CUST6856,Brenda Lee,FEMALE,31.0,Jaipur,2019-12-09,2024-05-08,14122.1,3.0,blee@yahoo.com
CUST2766,Linda Jones,MALE,70.0,,2019-02-20,2025-12-20,45178.7,3.0,
CUST10912,Jessica Williams,M,44.0,,2020-12-05,2023-02-21,10781.9,4.0,
CUST7438,William Brown,m,28.0,MUMBAI,2023-08-09,2024-03-28,7453.1,,wbrown@example.com
CUST1645,Nancy Martinez,MALE,41.0,Jaipur,2020-02-05,2025-01-09,63414.5,4.0,martinez72@example.com
CUST2501,Jennifer Harris,Female,,CHENNAI,2022-02-17,2025-06-08,7342.7,5.0,jharris@yahoo.com
CUST7230,Thomas Clark,,45.0,BANGALORE,2018-07-21,2025-01-14,78952.4,2.0,tclark@outlook.com
CUST10823,,male,26 years,Delhi,2021-12-12,2025-11-16,51018.3,2.0,
CUST10260,Michael Jones,,23.0,BANGALORE,2018-12-14,2023-10-25,17999.1,5.0,michaeljones@gmail.com
CUST3374,Patricia Rodriguez,m,25.0,Pune,2020-05-22,,29745.4,7.0,prodriguez@gmail.com
CUST4865,Edward Thomas,FEMALE,60.0,hyderabad,2019-11-12,2023-05-27,44683.1,6.0,
CUST7179,Steven White,male,,Ahmedabad,2023-07-29,2024-01-12,20236.6,10.0,stevenwhite@example.com
CUST3577,Jessica Lewis,M,30.0,Hyderabad,2021-04-19,2023-04-01,,8.0,jlewis@example.com
CUST7819,Elizabeth Williams,m,,HYDERABAD,2020-12-22,2024-12-30,18293.8,,elizabethwilliams@outlook.com
CUST7984,Amanda Miller,male,22.0,nagpur,2023-09-26,2025-08-13,19497.5,8.0,amandamiller@gmail.com
CUST2412,Mary Jones,Male,43.0,jaipur,2020-05-25,2025-11-28,17922.1,4.0,maryjones@outlook.com
CUST8119,Deborah Evans,male,41.0,hyderabad,2021-07-14,2025-10-04,48039.4,8.0,deborahevans@hotmail.com
CUST4404,Donald Nguyen,f,36.0,Pune,2022-04-21,2025-10-29,17805.5,5.0,dnguyen@gmail.com
CUST5913,David Davis,Male,69 years,delhi,2023-06-23,2023-09-05,49426.2,3.0,daviddavis@gmail.com
CUST8037,Sharon Roberts,female,31.0,,2018-02-08,,,2.0,roberts85@hotmail.com
CUST7290,George Ramirez,male,67.0,KOLKATA,2023-07-03,2024-01-01,,1.0,ramirez92@hotmail.com
